1 8.6424
2 8.6487
3 8.6482
4 8.73
5 8.3203
6 9.0769
7 7.5478
8 7.7454
9 6.4783
10 6.4842
11 7.7303
12 7.7403
13 7.7403
14 6.3893
15 4.3037
16 4.3849
17 4.4793
18 4.4838
19 4.4854
20 4.0642
21 6.0306
22 11.054
23 7.3022
24 7.3375
25 7.3574
26 8.8399
27 8.8402
28 7.3927
29 9.09
30 9.0491
31 9.0574
32 4.9607
33 5.1887
34 7.6629
35 6.5811
36 7.5002
37 7.5002
38 7.5061
39 8.0477
40 8.6986
41 6.6734
42 6.9207
43 6.5366
44 6.5479
45 6.6228
46 6.5473
47 6.9563
48 6.9563
49 5.4421
50 6.287
51 4.0741
52 4.3963
53 4.3238
54 4.3485
55 5.161
56 3.8969
57 3.8982
58 3.9192
59 4.0204
60 5.9959
61 5.9491
62 4.6072
63 4.746
64 4.7431
65 3.8967
66 3.8989
67 3.9006
68 3.9587
69 4.2497
70 4.3587
71 4.3591
72 4.7062
73 4.5405
74 4.5419
75 4.8516
76 4.3841
77 4.8251
78 5.1536
79 4.1923
80 4.1949
