M,Z
356.981,-17.155
357.981,-17.161
358.981,-17.167
359.981,-17.172
360.981,-17.178
361.981,-17.184
362.981,-17.189
363.98,-17.195
364.98,-17.201
365.98,-17.206
366.98,-17.212
367.98,-17.218
368.98,-17.218
369.98,-17.215
370.98,-17.212
371.98,-17.209
372.98,-17.205
373.98,-17.202
374.98,-17.198
375.98,-17.194
376.98,-17.191
377.98,-17.187
378.98,-17.183
379.98,-17.179
380.98,-17.175
381.979,-17.17
382.979,-17.166
383.979,-17.162
384.979,-17.155
385.979,-17.147
386.979,-17.139
387.979,-17.132
388.979,-17.124
389.979,-17.116
390.979,-17.108
391.979,-17.101
392.979,-17.093
393.979,-17.085
394.979,-17.077
395.979,-17.069
396.979,-17.061
397.979,-17.053
398.979,-17.045
399.979,-17.037
400.978,-17.028
401.978,-17.02
402.978,-17.012
403.978,-17.004
404.978,-16.995
405.978,-16.987
406.978,-16.979
407.978,-16.97
408.978,-16.962
409.978,-16.953
410.978,-16.945
411.978,-16.936
412.978,-16.928
413.978,-16.919
414.978,-16.911
415.978,-16.902
416.978,-16.893
417.978,-16.885
418.978,-16.876
419.977,-16.867
420.977,-16.858
421.977,-16.849
422.977,-16.841
423.977,-16.832
424.977,-16.823
425.977,-16.814
426.977,-16.805
427.977,-16.796
428.977,-16.786
429.977,-16.777
430.977,-16.768
431.977,-16.759
432.977,-16.75
433.977,-16.74
434.977,-16.731
435.977,-16.722
436.977,-16.713
437.976,-16.703
438.976,-16.694
439.976,-16.684
440.976,-16.675
441.976,-16.665
442.976,-16.656
443.976,-16.646
444.976,-16.636
445.976,-16.627
446.976,-16.617
447.976,-16.607
448.976,-16.598
449.976,-16.588
450.976,-16.578
451.976,-16.568
452.976,-16.558
453.976,-16.548
454.976,-16.538
455.976,-16.528
456.975,-16.518
457.975,-16.508
458.975,-16.498
459.975,-16.488
460.975,-16.478
461.975,-16.468
462.975,-16.457
463.975,-16.447
464.975,-16.437
465.975,-16.426
466.975,-16.416
467.975,-16.406
468.975,-16.395
469.975,-16.385
470.975,-16.374
471.975,-16.364
472.975,-16.353
473.975,-16.342
474.974,-16.332
475.974,-16.321
476.974,-16.31
477.974,-16.3
478.974,-16.289
479.974,-16.278
480.974,-16.267
481.974,-16.256
482.974,-16.245
483.974,-16.235
484.974,-16.224
485.974,-16.213
486.974,-16.201
487.974,-16.19
488.974,-16.179
489.974,-16.168
490.974,-16.157
491.974,-16.146
492.974,-16.135
493.973,-16.123
494.973,-16.112
495.973,-16.101
496.973,-16.083
497.973,-16.062
498.973,-16.04
499.973,-16.019
500.973,-15.998
501.973,-15.976
502.973,-15.954
503.973,-15.933
504.973,-15.911
505.973,-15.889
506.973,-15.867
507.973,-15.845
508.973,-15.822
509.973,-15.8
510.973,-15.778
511.973,-15.755
512.972,-15.732
513.972,-15.71
514.972,-15.687
515.972,-15.664
516.972,-15.641
517.972,-15.618
518.972,-15.594
519.972,-15.571
520.972,-15.547
521.972,-15.524
522.972,-15.5
523.972,-15.476
524.972,-15.453
525.972,-15.429
526.972,-15.404
527.972,-15.38
528.972,-15.357
529.972,-15.333
530.971,-15.31
531.971,-15.287
532.971,-15.264
533.971,-15.242
534.971,-15.219
535.971,-15.197
536.971,-15.176
537.971,-15.154
538.971,-15.133
539.971,-15.112
540.971,-15.092
541.971,-15.072
542.971,-15.051
543.971,-15.032
544.971,-15.012
545.971,-14.993
546.971,-14.974
547.971,-14.955
548.971,-14.937
549.97,-14.919
550.97,-14.901
551.97,-14.883
552.97,-14.866
553.97,-14.849
554.97,-14.832
555.97,-14.815
556.97,-14.799
557.97,-14.783
558.97,-14.767
559.97,-14.752
560.97,-14.737
561.97,-14.722
562.97,-14.707
563.97,-14.693
564.97,-14.679
565.97,-14.665
566.97,-14.651
567.97,-14.638
568.969,-14.625
569.969,-14.612
570.969,-14.6
571.969,-14.587
572.969,-14.575
573.969,-14.564
574.969,-14.552
575.969,-14.541
576.969,-14.53
577.969,-14.519
578.969,-14.509
579.969,-14.499
580.969,-14.489
581.969,-14.48
582.969,-14.47
583.969,-14.461
584.969,-14.453
585.969,-14.444
586.968,-14.436
587.968,-14.428
588.968,-14.42
589.968,-14.413
590.968,-14.406
591.968,-14.399
592.968,-14.392
593.968,-14.386
594.968,-14.38
595.968,-14.374
596.968,-14.369
597.968,-14.363
598.968,-14.359
599.968,-14.354
600.968,-14.349
601.968,-14.345
602.968,-14.341
603.968,-14.338
604.968,-14.334
605.967,-14.331
606.967,-14.328
607.967,-14.326
608.967,-14.325
609.967,-14.324
610.967,-14.324
611.967,-14.324
612.967,-14.323
613.967,-14.323
614.967,-14.323
615.967,-14.323
616.967,-14.323
617.967,-14.322
618.967,-14.322
619.967,-14.322
620.967,-14.322
621.967,-14.322
622.967,-14.323
623.967,-14.323
624.966,-14.323
625.966,-14.323
626.966,-14.323
627.966,-14.324
628.966,-14.324
629.966,-14.324
630.966,-14.325
631.966,-14.325
632.966,-14.326
633.966,-14.326
634.966,-14.327
635.966,-14.328
636.966,-14.328
637.966,-14.329
638.966,-14.33
639.966,-14.33
640.966,-14.331
