Code, FullName, CodeName, 
8037, Americium 241 in Bq/kg diameter < 63 um drooggewicht in bodem/sediment                                                    , 8037%7CAmericium+241+in+Bq%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                              , 
2957, Americium 241 in Bq/kg drooggewicht in zwevende stof                                                                      , 2957%7CAmericium+241+in+Bq%2Fkg+drooggewicht+in+zwevende+stof                                                                                    , 
6318, Americium 241 in mBq/l in oppervlaktewater                                                                                , 6318%7CAmericium+241+in+mBq%2Fl+in+oppervlaktewater                                                                                              , 
3452, Ametryn in ug/l in oppervlaktewater                                                                                       , 3452%7CAmetryn+in+ug%2Fl+in+oppervlaktewater                                                                                                     , 
1000, Aminomethylfosfonzuur in ug/l in oppervlaktewater                                                                         , 1000%7CAminomethylfosfonzuur+in+ug%2Fl+in+oppervlaktewater                                                                                       , 
491, Ammonium in mg/l uitgedrukt in stikstof / na filtratie in oppervlaktewater                                                , 491%7CAmmonium+in+mg%2Fl+uitgedrukt+in+stikstof+%2F+na+filtratie+in+oppervlaktewater                                                             , 
6249, Antimoon 122 in mBq/l in oppervlaktewater                                                                                 , 6249%7CAntimoon+122+in+mBq%2Fl+in+oppervlaktewater                                                                                               , 
6251, Antimoon 124 in mBq/l in oppervlaktewater                                                                                 , 6251%7CAntimoon+124+in+mBq%2Fl+in+oppervlaktewater                                                                                               , 
6253, Antimoon 125 in mBq/l in oppervlaktewater                                                                                 , 6253%7CAntimoon+125+in+mBq%2Fl+in+oppervlaktewater                                                                                               , 
8424, Antimoon in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                         , 8424%7CAntimoon+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                   , 
1201, Antimoon in mg/kg drooggewicht in bodem/sediment                                                                          , 1201%7CAntimoon+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                      , 
1202, Antimoon in mg/kg drooggewicht in zwevende stof                                                                           , 1202%7CAntimoon+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                         , 
383, Antimoon in ug/l in oppervlaktewater                                                                                      , 383%7CAntimoon+in+ug%2Fl+in+oppervlaktewater                                                                                                     , 
