Code, FullName, CodeName, 
590, Dichloordifenyldichloorethaan-2,4' in ug/kg drooggewicht in zwevende stof                                                 , 590%7CDichloordifenyldichloorethaan-2%2C4%27+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                            , 
231, Dichloordifenyldichloorethaan-2,4' in ug/l in oppervlaktewater                                                            , 231%7CDichloordifenyldichloorethaan-2%2C4%27+in+ug%2Fl+in+oppervlaktewater                                                                       , 
595, Dichloordifenyldichloorethaan-4,4' in ug/kg drooggewicht in bodem/sediment                                                , 595%7CDichloordifenyldichloorethaan-4%2C4%27+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                         , 
596, Dichloordifenyldichloorethaan-4,4' in ug/kg drooggewicht in zwevende stof                                                 , 596%7CDichloordifenyldichloorethaan-4%2C4%27+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                            , 
246, Dichloordifenyldichloorethaan-4,4' in ug/l in oppervlaktewater                                                            , 246%7CDichloordifenyldichloorethaan-4%2C4%27+in+ug%2Fl+in+oppervlaktewater                                                                       , 
591, Dichloordifenyldichlooretheen-2,4' in ug/kg drooggewicht in bodem/sediment                                                , 591%7CDichloordifenyldichlooretheen-2%2C4%27+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                         , 
592, Dichloordifenyldichlooretheen-2,4' in ug/kg drooggewicht in zwevende stof                                                 , 592%7CDichloordifenyldichlooretheen-2%2C4%27+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                            , 
232, Dichloordifenyldichlooretheen-2,4' in ug/l in oppervlaktewater                                                            , 232%7CDichloordifenyldichlooretheen-2%2C4%27+in+ug%2Fl+in+oppervlaktewater                                                                       , 
597, Dichloordifenyldichlooretheen-4,4' in ug/kg drooggewicht in bodem/sediment                                                , 597%7CDichloordifenyldichlooretheen-4%2C4%27+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                         , 
598, Dichloordifenyldichlooretheen-4,4' in ug/kg drooggewicht in zwevende stof                                                 , 598%7CDichloordifenyldichlooretheen-4%2C4%27+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                            , 
247, Dichloordifenyldichlooretheen-4,4' in ug/l in oppervlaktewater                                                            , 247%7CDichloordifenyldichlooretheen-4%2C4%27+in+ug%2Fl+in+oppervlaktewater                                                                       , 
593, Dichloordifenyltrichloorethaan-2,4' in ug/kg drooggewicht in bodem/sediment                                               , 593%7CDichloordifenyltrichloorethaan-2%2C4%27+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                        , 
594, Dichloordifenyltrichloorethaan-2,4' in ug/kg drooggewicht in zwevende stof                                                , 594%7CDichloordifenyltrichloorethaan-2%2C4%27+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                           , 
233, Dichloordifenyltrichloorethaan-2,4' in ug/l in oppervlaktewater                                                           , 233%7CDichloordifenyltrichloorethaan-2%2C4%27+in+ug%2Fl+in+oppervlaktewater                                                                      , 
599, Dichloordifenyltrichloorethaan-4,4' in ug/kg drooggewicht in bodem/sediment                                               , 599%7CDichloordifenyltrichloorethaan-4%2C4%27+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                        , 
600, Dichloordifenyltrichloorethaan-4,4' in ug/kg drooggewicht in zwevende stof                                                , 600%7CDichloordifenyltrichloorethaan-4%2C4%27+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                           , 
248, Dichloordifenyltrichloorethaan-4,4' in ug/l in oppervlaktewater                                                           , 248%7CDichloordifenyltrichloorethaan-4%2C4%27+in+ug%2Fl+in+oppervlaktewater                                                                      , 
3201, Dichloorethaan-1,1 in ug/l in oppervlaktewater                                                                            , 3201%7CDichloorethaan-1%2C1+in+ug%2Fl+in+oppervlaktewater                                                                                        , 
216, Dichloorethaan-1,2 in ug/l in oppervlaktewater                                                                            , 216%7CDichloorethaan-1%2C2+in+ug%2Fl+in+oppervlaktewater                                                                                         , 
3158, Dichlooretheen-1,1 in ug/l in oppervlaktewater                                                                            , 3158%7CDichlooretheen-1%2C1+in+ug%2Fl+in+oppervlaktewater                                                                                        , 
1031, Dichloorfenol-2,3 in mg/kg drooggewicht in bodem/sediment                                                                 , 1031%7CDichloorfenol-2%2C3+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                           , 
1053, Dichloorfenol-2,3 in mg/kg drooggewicht in zwevende stof                                                                  , 1053%7CDichloorfenol-2%2C3+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                              , 
732, Dichloorfenol-2,3 in ug/l in oppervlaktewater                                                                             , 732%7CDichloorfenol-2%2C3+in+ug%2Fl+in+oppervlaktewater                                                                                          , 
1034, Dichloorfenol-2,6 in mg/kg drooggewicht in bodem/sediment                                                                 , 1034%7CDichloorfenol-2%2C6+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                           , 
1056, Dichloorfenol-2,6 in mg/kg drooggewicht in zwevende stof                                                                  , 1056%7CDichloorfenol-2%2C6+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                              , 
748, Dichloorfenol-2,6 in ug/l in oppervlaktewater                                                                             , 748%7CDichloorfenol-2%2C6+in+ug%2Fl+in+oppervlaktewater                                                                                          , 
1035, Dichloorfenol-3,4 in mg/kg drooggewicht in bodem/sediment                                                                 , 1035%7CDichloorfenol-3%2C4+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                           , 
1057, Dichloorfenol-3,4 in mg/kg drooggewicht in zwevende stof                                                                  , 1057%7CDichloorfenol-3%2C4+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                              , 
753, Dichloorfenol-3,4 in ug/l in oppervlaktewater                                                                             , 753%7CDichloorfenol-3%2C4+in+ug%2Fl+in+oppervlaktewater                                                                                          , 
1036, Dichloorfenol-3,5 in mg/kg drooggewicht in bodem/sediment                                                                 , 1036%7CDichloorfenol-3%2C5+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                           , 
1058, Dichloorfenol-3,5 in mg/kg drooggewicht in zwevende stof                                                                  , 1058%7CDichloorfenol-3%2C5+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                              , 
754, Dichloorfenol-3,5 in ug/l in oppervlaktewater                                                                             , 754%7CDichloorfenol-3%2C5+in+ug%2Fl+in+oppervlaktewater                                                                                          , 
735, Dichloorfenoxyazijnzuur-2,4 in ug/l in oppervlaktewater                                                                   , 735%7CDichloorfenoxyazijnzuur-2%2C4+in+ug%2Fl+in+oppervlaktewater                                                                                , 
736, Dichloorfenoxyboterzuur-2,4 in ug/l in oppervlaktewater                                                                   , 736%7CDichloorfenoxyboterzuur-2%2C4+in+ug%2Fl+in+oppervlaktewater                                                                                , 
740, Dichloorfenoxypropionzuur-2,4 in ug/l in oppervlaktewater                                                                 , 740%7CDichloorfenoxypropionzuur-2%2C4+in+ug%2Fl+in+oppervlaktewater                                                                              , 
1022, Dichloormethaan in ug/l in oppervlaktewater                                                                               , 1022%7CDichloormethaan+in+ug%2Fl+in+oppervlaktewater                                                                                             , 
587, Dichloornitrobenzeen-2,3 in ug/kg drooggewicht in bodem/sediment                                                          , 587%7CDichloornitrobenzeen-2%2C3+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                     , 
588, Dichloornitrobenzeen-2,3 in ug/kg drooggewicht in zwevende stof                                                           , 588%7CDichloornitrobenzeen-2%2C3+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                                        , 
225, Dichloornitrobenzeen-2,3 in ug/l in oppervlaktewater                                                                      , 225%7CDichloornitrobenzeen-2%2C3+in+ug%2Fl+in+oppervlaktewater                                                                                   , 
1274, Dichloornitrobenzeen-2,4 in ug/kg drooggewicht in bodem/sediment                                                          , 1274%7CDichloornitrobenzeen-2%2C4+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                    , 
737, Dichloornitrobenzeen-2,4 in ug/kg drooggewicht in zwevende stof                                                           , 737%7CDichloornitrobenzeen-2%2C4+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                                        , 
1275, Dichloornitrobenzeen-2,5 in ug/kg drooggewicht in bodem/sediment                                                          , 1275%7CDichloornitrobenzeen-2%2C5+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                    , 
741, Dichloornitrobenzeen-2,5 in ug/kg drooggewicht in zwevende stof                                                           , 741%7CDichloornitrobenzeen-2%2C5+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                                        , 
1276, Dichloornitrobenzeen-3,4 in ug/kg drooggewicht in bodem/sediment                                                          , 1276%7CDichloornitrobenzeen-3%2C4+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                    , 
752, Dichloornitrobenzeen-3,4 in ug/kg drooggewicht in zwevende stof                                                           , 752%7CDichloornitrobenzeen-3%2C4+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                                        , 
217, Dichloorpropaan-1,2 in ug/l in oppervlaktewater                                                                           , 217%7CDichloorpropaan-1%2C2+in+ug%2Fl+in+oppervlaktewater                                                                                        , 
1019, Dichloorpropaan-1,3 in ug/l in oppervlaktewater                                                                           , 1019%7CDichloorpropaan-1%2C3+in+ug%2Fl+in+oppervlaktewater                                                                                       , 
827, Dichloorvos in ug/l in oppervlaktewater                                                                                   , 827%7CDichloorvos+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
3188, Dicyclopentadieen in ug/l in oppervlaktewater                                                                             , 3188%7CDicyclopentadieen+in+ug%2Fl+in+oppervlaktewater                                                                                           , 
633, Dieldrin in ug/kg drooggewicht in bodem/sediment                                                                          , 633%7CDieldrin+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                       , 
634, Dieldrin in ug/kg drooggewicht in zwevende stof                                                                           , 634%7CDieldrin+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                                                          , 
298, Dieldrin in ug/l in oppervlaktewater                                                                                      , 298%7CDieldrin+in+ug%2Fl+in+oppervlaktewater                                                                                                     , 
297, Diethylftalaat in ug/l in oppervlaktewater                                                                                , 297%7CDiethylftalaat+in+ug%2Fl+in+oppervlaktewater                                                                                               , 
5913, Difenyltin (kation) in ng/l in oppervlaktewater                                                                           , 5913%7CDifenyltin+%28kation%29+in+ng%2Fl+in+oppervlaktewater                                                                                     , 
5888, Difenyltin (kation) in ng/l uitgedrukt in tin in oppervlaktewater                                                         , 5888%7CDifenyltin+%28kation%29+in+ng%2Fl+uitgedrukt+in+tin+in+oppervlaktewater                                                                   , 
2839, Difenyltin (kation) in ug/kg diameter < 63 um drooggewicht in bodem/sediment                                              , 2839%7CDifenyltin+%28kation%29+in+ug%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                    , 
2849, Difenyltin (kation) in ug/kg drooggewicht in zwevende stof                                                                , 2849%7CDifenyltin+%28kation%29+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                                          , 
2301, Difenyltin (kation) in ug/kg uitgedrukt in tin / drooggewicht in zwevende stof                                            , 2301%7CDifenyltin+%28kation%29+in+ug%2Fkg+uitgedrukt+in+tin+%2F+drooggewicht+in+zwevende+stof                                                    , 
3495, Diflubenzuron in ug/l in oppervlaktewater                                                                                 , 3495%7CDiflubenzuron+in+ug%2Fl+in+oppervlaktewater                                                                                               , 
5124, Diisobutylftalaat in ug/l in oppervlaktewater                                                                             , 5124%7CDiisobutylftalaat+in+ug%2Fl+in+oppervlaktewater                                                                                           , 
1021, Diisopropylether in ug/l in oppervlaktewater                                                                              , 1021%7CDiisopropylether+in+ug%2Fl+in+oppervlaktewater                                                                                            , 
7600, Dimethenamid-p in ug/l in oppervlaktewater                                                                                , 7600%7CDimethenamid-p+in+ug%2Fl+in+oppervlaktewater                                                                                              , 
936, Dimethoaat in ug/l in oppervlaktewater                                                                                    , 936%7CDimethoaat+in+ug%2Fl+in+oppervlaktewater                                                                                                   , 
3191, Dimethoxymethaan in ug/l in oppervlaktewater                                                                              , 3191%7CDimethoxymethaan+in+ug%2Fl+in+oppervlaktewater                                                                                            , 
5134, Dimethylbenzaldehyde-2,4 in ug/l in oppervlaktewater                                                                      , 5134%7CDimethylbenzaldehyde-2%2C4+in+ug%2Fl+in+oppervlaktewater                                                                                  , 
3173, Dimethyldisulfide in ug/l in oppervlaktewater                                                                             , 3173%7CDimethyldisulfide+in+ug%2Fl+in+oppervlaktewater                                                                                           , 
5136, Dimethylpyridine-2,6 in ug/l in oppervlaktewater                                                                          , 5136%7CDimethylpyridine-2%2C6+in+ug%2Fl+in+oppervlaktewater                                                                                      , 
769, Dinitro-o-cresol-4,6 in ug/l in oppervlaktewater                                                                          , 769%7CDinitro-o-cresol-4%2C6+in+ug%2Fl+in+oppervlaktewater                                                                                       , 
739, Dinitrofenol-2,4 in ug/l in oppervlaktewater                                                                              , 739%7CDinitrofenol-2%2C4+in+ug%2Fl+in+oppervlaktewater                                                                                           , 
1929, Dinobuton in ug/l in oppervlaktewater                                                                                     , 1929%7CDinobuton+in+ug%2Fl+in+oppervlaktewater                                                                                                   , 
1277, Dinoseb in ug/l in oppervlaktewater                                                                                       , 1277%7CDinoseb+in+ug%2Fl+in+oppervlaktewater                                                                                                     , 
1927, Dinoseb-acetaat in ug/l in oppervlaktewater                                                                               , 1927%7CDinoseb-acetaat+in+ug%2Fl+in+oppervlaktewater                                                                                             , 
1278, Dinoterb in ug/l in oppervlaktewater                                                                                      , 1278%7CDinoterb+in+ug%2Fl+in+oppervlaktewater                                                                                                    , 
5138, Dipropyleenglycolmonomethylether in ug/l in oppervlaktewater                                                              , 5138%7CDipropyleenglycolmonomethylether+in+ug%2Fl+in+oppervlaktewater                                                                            , 
937, Disulfoton in ug/l in oppervlaktewater                                                                                    , 937%7CDisulfoton+in+ug%2Fl+in+oppervlaktewater                                                                                                   , 
7163, Dithianon in ug/l in oppervlaktewater                                                                                     , 7163%7CDithianon+in+ug%2Fl+in+oppervlaktewater                                                                                                   , 
938, Diuron in ug/l in oppervlaktewater                                                                                        , 938%7CDiuron+in+ug%2Fl+in+oppervlaktewater                                                                                                       , 
3503, Dodine in ug/l in oppervlaktewater                                                                                        , 3503%7CDodine+in+ug%2Fl+in+oppervlaktewater                                                                                                      , 
541, Doorzicht in dm in oppervlaktewater                                                                                       , 541%7CDoorzicht+in+dm+in+oppervlaktewater                                                                                                        , 
697, Drooggewicht in g in bodem/sediment                                                                                       , 697%7CDrooggewicht+in+g+in+bodem%2Fsediment                                                                                                      , 
698, Drooggewicht in g in zwevende stof                                                                                        , 698%7CDrooggewicht+in+g+in+zwevende+stof                                                                                                         , 
3037, Duur bemonstering in h in oppervlaktewater                                                                                , 3037%7CDuur+bemonstering+in+h+in+oppervlaktewater                                                                                                , 
3439, Duur bemonstering in h in zwevende stof                                                                                   , 3439%7CDuur+bemonstering+in+h+in+zwevende+stof                                                                                                   , 
8417, Dysprosium in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                       , 8417%7CDysprosium+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                 , 
864, Dysprosium in mg/kg drooggewicht in bodem/sediment                                                                        , 864%7CDysprosium+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                     , 
8223, Dysprosium in mg/kg drooggewicht in zwevende stof                                                                         , 8223%7CDysprosium+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                       , 
635, Endrin in ug/kg drooggewicht in bodem/sediment                                                                            , 635%7CEndrin+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                         , 
636, Endrin in ug/kg drooggewicht in zwevende stof                                                                             , 636%7CEndrin+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                                                            , 
301, Endrin in ug/l in oppervlaktewater                                                                                        , 301%7CEndrin+in+ug%2Fl+in+oppervlaktewater                                                                                                       , 
8418, Erbium in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                           , 8418%7CErbium+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                     , 
8242, Erbium in mg/kg drooggewicht in bodem/sediment                                                                            , 8242%7CErbium+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                        , 
8224, Erbium in mg/kg drooggewicht in zwevende stof                                                                             , 8224%7CErbium+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                           , 
7164, Esfenvaleraat in ug/l in oppervlaktewater                                                                                 , 7164%7CEsfenvaleraat+in+ug%2Fl+in+oppervlaktewater                                                                                               , 
2159, Ethiofencarb in ug/l in oppervlaktewater                                                                                  , 2159%7CEthiofencarb+in+ug%2Fl+in+oppervlaktewater                                                                                                , 
2834, Ethofumesaat in ug/l in oppervlaktewater                                                                                  , 2834%7CEthofumesaat+in+ug%2Fl+in+oppervlaktewater                                                                                                , 
939, Ethoprofos in ug/l in oppervlaktewater                                                                                    , 939%7CEthoprofos+in+ug%2Fl+in+oppervlaktewater                                                                                                   , 
879, Ethylazinfos in ug/l in oppervlaktewater                                                                                  , 879%7CEthylazinfos+in+ug%2Fl+in+oppervlaktewater                                                                                                 , 
303, Ethylbenzeen in ug/l in oppervlaktewater                                                                                  , 303%7CEthylbenzeen+in+ug%2Fl+in+oppervlaktewater                                                                                                 , 
997, Ethyleendiaminetetraethaanzuur (edta) in ug/l in oppervlaktewater                                                         , 997%7CEthyleendiaminetetraethaanzuur+%28edta%29+in+ug%2Fl+in+oppervlaktewater                                                                    , 
940, Ethylparathion in ug/l in oppervlaktewater                                                                                , 940%7CEthylparathion+in+ug%2Fl+in+oppervlaktewater                                                                                               , 
3182, Ethyltolueen-2 in ug/l in oppervlaktewater                                                                                , 3182%7CEthyltolueen-2+in+ug%2Fl+in+oppervlaktewater                                                                                              , 
3176, Ethyltolueen-3 in ug/l in oppervlaktewater                                                                                , 3176%7CEthyltolueen-3+in+ug%2Fl+in+oppervlaktewater                                                                                              , 
3179, Ethyltolueen-4 in ug/l in oppervlaktewater                                                                                , 3179%7CEthyltolueen-4+in+ug%2Fl+in+oppervlaktewater                                                                                              , 
8419, Europium in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                         , 8419%7CEuropium+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                   , 
8243, Europium in mg/kg drooggewicht in bodem/sediment                                                                          , 8243%7CEuropium+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                      , 
8225, Europium in mg/kg drooggewicht in zwevende stof                                                                           , 8225%7CEuropium+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                         , 
713, Extinctiecoefficient in /m in oppervlaktewater                                                                            , 713%7CExtinctiecoefficient+in+%2Fm+in+oppervlaktewater                                                                                           , 
3466, Fenamifos in ug/l in oppervlaktewater                                                                                     , 3466%7CFenamifos+in+ug%2Fl+in+oppervlaktewater                                                                                                   , 
2213, Fenanthreen in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                      , 2213%7CFenanthreen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                , 
458, Fenanthreen in mg/kg drooggewicht in bodem/sediment                                                                       , 458%7CFenanthreen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                    , 
506, Fenanthreen in mg/kg drooggewicht in zwevende stof                                                                        , 506%7CFenanthreen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                       , 
308, Fenanthreen in ug/l in oppervlaktewater                                                                                   , 308%7CFenanthreen+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
942, Fenitrothion in ug/l in oppervlaktewater                                                                                  , 942%7CFenitrothion+in+ug%2Fl+in+oppervlaktewater                                                                                                 , 
309, Fenolindex (met waterdamp vluchtige fenolen) in ug/l in oppervlaktewater                                                  , 309%7CFenolindex+%28met+waterdamp+vluchtige+fenolen%29+in+ug%2Fl+in+oppervlaktewater                                                             , 
3470, Fenoxycarb in ug/l in oppervlaktewater                                                                                    , 3470%7CFenoxycarb+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
941, Fenthion in ug/l in oppervlaktewater                                                                                      , 941%7CFenthion+in+ug%2Fl+in+oppervlaktewater                                                                                                     , 
3468, Fenuron in ug/l in oppervlaktewater                                                                                       , 3468%7CFenuron+in+ug%2Fl+in+oppervlaktewater                                                                                                     , 
311, Feofytine a in ug/l in oppervlaktewater                                                                                   , 311%7CFeofytine+a+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
310, Feofytine in ug/l in oppervlaktewater                                                                                     , 310%7CFeofytine+in+ug%2Fl+in+oppervlaktewater                                                                                                    , 
2212, Fluorantheen in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                     , 2212%7CFluorantheen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                               , 
460, Fluorantheen in mg/kg drooggewicht in bodem/sediment                                                                      , 460%7CFluorantheen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                   , 
507, Fluorantheen in mg/kg drooggewicht in zwevende stof                                                                       , 507%7CFluorantheen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                      , 
425, Fluorantheen in ug/l in oppervlaktewater                                                                                  , 425%7CFluorantheen+in+ug%2Fl+in+oppervlaktewater                                                                                                 , 
8366, Fluorantheen in ug/l opgelost in oppervlaktewater                                                                         , 8366%7CFluorantheen+in+ug%2Fl+opgelost+in+oppervlaktewater                                                                                       , 
639, Fluoreen in mg/kg drooggewicht in bodem/sediment                                                                          , 639%7CFluoreen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                       , 
640, Fluoreen in mg/kg drooggewicht in zwevende stof                                                                           , 640%7CFluoreen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                          , 
1009, Fluoreen in ug/l in oppervlaktewater                                                                                      , 1009%7CFluoreen+in+ug%2Fl+in+oppervlaktewater                                                                                                    , 
304, Fluoride in mg/l in oppervlaktewater                                                                                      , 304%7CFluoride+in+mg%2Fl+in+oppervlaktewater                                                                                                     , 
2967, Fluroxypyr in ug/l in oppervlaktewater                                                                                    , 2967%7CFluroxypyr+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
3498, Flutolanil in ug/l in oppervlaktewater                                                                                    , 3498%7CFlutolanil+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
3471, Fonofos in ug/l in oppervlaktewater                                                                                       , 3471%7CFonofos+in+ug%2Fl+in+oppervlaktewater                                                                                                     , 
4998, Fosfamidon in ug/l in oppervlaktewater                                                                                    , 4998%7CFosfamidon+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
5933, Gadolinium in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                       , 5933%7CGadolinium+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                 , 
828, Gadolinium in mg/kg drooggewicht in bodem/sediment                                                                        , 828%7CGadolinium+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                     , 
840, Gadolinium in mg/kg drooggewicht in zwevende stof                                                                         , 840%7CGadolinium+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                        , 
5932, Gallium in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                          , 5932%7CGallium+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                    , 
8244, Gallium in mg/kg drooggewicht in bodem/sediment                                                                           , 8244%7CGallium+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                       , 
5904, Gallium in mg/kg drooggewicht in zwevende stof                                                                            , 5904%7CGallium+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                          , 
622, Gamma-hexachloorcyclohexaan (lindaan) in ug/kg drooggewicht in bodem/sediment                                             , 622%7CGamma-hexachloorcyclohexaan+%28lindaan%29+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                      , 
699, Gamma-hexachloorcyclohexaan (lindaan) in ug/kg drooggewicht in zwevende stof                                              , 699%7CGamma-hexachloorcyclohexaan+%28lindaan%29+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                         , 
421, Gamma-hexachloorcyclohexaan (lindaan) in ug/l in oppervlaktewater                                                         , 421%7CGamma-hexachloorcyclohexaan+%28lindaan%29+in+ug%2Fl+in+oppervlaktewater                                                                    , 
432, Geleidendheid in mS/m in oppervlaktewater                                                                                 , 432%7CGeleidendheid+in+mS%2Fm+in+oppervlaktewater                                                                                                , 
2392, Geleidendheid in mS/m t.o.v. 20 graden celsius in oppervlaktewater                                                        , 2392%7CGeleidendheid+in+mS%2Fm+t.o.v.+20+graden+celsius+in+oppervlaktewater                                                                      , 
24, Gem. golfperiode uit spectrale momenten m0+m2 van 30-500 mhz in s in oppervlaktewater                                     , 24%7CGem.+golfperiode+uit+spectrale+momenten+m0+m2+van+30-500+mhz+in+s+in+oppervlaktewater                                                       , 
23, Gemiddelde richting uit golfrichtingsspectrum van 30-500 mhz in graad t.o.v. kaart noorden in oppervlaktewater            , 23%7CGemiddelde+richting+uit+golfrichtingsspectrum+van+30-500+mhz+in+graad+t.o.v.+kaart+noorden+in+oppervlaktewater                              , 
5934, Germanium in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                        , 5934%7CGermanium+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                  , 
8245, Germanium in mg/kg drooggewicht in bodem/sediment                                                                         , 8245%7CGermanium+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                     , 
5903, Germanium in mg/kg drooggewicht in zwevende stof                                                                          , 5903%7CGermanium+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                        , 
313, Geur in oppervlaktewater                                                                                                  , 313%7CGeur+in+oppervlaktewater                                                                                                                   , 
994, Geurverdunningsfactor in oppervlaktewater                                                                                 , 994%7CGeurverdunningsfactor+in+oppervlaktewater                                                                                                  , 
314, Gloeirest in mg/l in oppervlaktewater                                                                                     , 314%7CGloeirest+in+mg%2Fl+in+oppervlaktewater                                                                                                    , 
7169, Glufosinaat-ammonium in ug/l in oppervlaktewater                                                                          , 7169%7CGlufosinaat-ammonium+in+ug%2Fl+in+oppervlaktewater                                                                                        , 
1002, Glyfosaat in ug/l in oppervlaktewater                                                                                     , 1002%7CGlyfosaat+in+ug%2Fl+in+oppervlaktewater                                                                                                   , 
554, Golfhoogte in dm in oppervlaktewater                                                                                      , 554%7CGolfhoogte+in+dm+in+oppervlaktewater                                                                                                       , 
8226, Hafnium in mg/kg drooggewicht in zwevende stof                                                                            , 8226%7CHafnium+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                          , 
427, Hardheid duits in oD in oppervlaktewater                                                                                  , 427%7CHardheid+duits+in+oD+in+oppervlaktewater                                                                                                   , 
323, Hardheid in meq/l in oppervlaktewater                                                                                     , 323%7CHardheid+in+meq%2Fl+in+oppervlaktewater                                                                                                    , 
701, Hardheid tijdelijk duits in oD in oppervlaktewater                                                                        , 701%7CHardheid+tijdelijk+duits+in+oD+in+oppervlaktewater                                                                                         , 
700, Hardheid tijdelijk in meq/l in oppervlaktewater                                                                           , 700%7CHardheid+tijdelijk+in+meq%2Fl+in+oppervlaktewater                                                                                          , 
6717, Hardheid totaal in mg/l uitgedrukt in calciumcarbonaat (caco3) in oppervlaktewater                                        , 6717%7CHardheid+totaal+in+mg%2Fl+uitgedrukt+in+calciumcarbonaat+%28caco3%29+in+oppervlaktewater                                                  , 
6599, Heptabroomdifenylether-2,2',3,4,4',5',6 in ug/kg diameter < 63 um drooggewicht in bodem/sediment                          , 6599%7CHeptabroomdifenylether-2%2C2%27%2C3%2C4%2C4%27%2C5%27%2C6+in+ug%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                  , 
