X	Graphic Profile 1
0.000	-23.491
0.001	-23.223
0.002	-23.049
0.003	-22.934
0.004	-22.765
0.005	-22.493
0.006	-22.126
0.007	-21.715
0.008	-21.315
0.009	-20.955
0.010	-20.637
0.011	-20.343
0.012	-20.054
0.013	-19.760
0.014	-19.436
0.015	-19.076
0.016	-18.629
0.017	-18.036
0.018	-17.217
0.019	-16.211
0.020	-14.939
0.021	-12.440
0.022	-10.676
0.023	-12.179
0.024	-13.143

