BCCR-BCM2,Norway BCCR BCM2.0
NCAR-CCSM3,USA NCAR CCSM3
MRI-CGCM232,Japan MRI CGCM2.3.2
CCCMA-CGCM31,Canada CCCMA CGCM3.1
GFDL-CM21,USA GFDL CM2.1
IPSL-CM4,France IPSL CM4
MPI-ECHAM5,Germany MPI ECHAM5
FreieUniBerlin-ECHO-G,Germany Freie Universitat Berlin ECHO-G
GISS-ER,USA GISS-ER
HadleyCentre-HADGEM1,UK HadleyCentre HADGEM1
CCSR-MIROC32med,Japan CCSR MIROC3.2
CSIRO-Mk3,Australia CSIRO Mk3.0
