ELLIPSOID_CODE,ELLIPSOID_NAME,SEMI_MAJOR_AXIS,UOM_CODE,INV_FLATTENING,SEMI_MINOR_AXIS,ELLIPSOID_SHAPE,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,DEPRECATED
7019,GRS 1980,6378137,9001,298.257222101,NaN,1,Adopted by IUGG 1979 Canberra.  Inverse flattening is derived from geocentric gravitational constant GM = 3986005e8 m*m*m/s/s; dynamic form factor J2 = 108263e-8 and Earth's angular velocity = 7292115e-11 rad/s.,"Geodetic Reference System 1980" by H. Moritz; Bulletin Geodesique,EPSG,23-8-2013,1998.110 1998.320 2013.043,0
7020,Helmert 1906,6378200,9001,298.3,NaN,1,Helmert 1906/III solution.,"Ellipsoidisch Parameter der Erdfigur (1800-1950)" by Georg Strasser,EPSG,2-6-1995,NaN,0
7021,Indonesian National Spheroid,6378160,9001,298.247,NaN,1,Based on the GRS 1967 figure but with 1/f taken to 3 decimal places exactly.,Rais paper.,EPSG,2-6-1995,NaN,0
7022,International 1924,6378388,9001,297,NaN,1,Adopted by IUGG 1924 in Madrid. Based on Hayford 1909/1910 figures.,NaN,EPSG,2-6-1995,NaN,0
7024,Krassowsky 1940,6378245,9001,298.3,NaN,1,NaN,NaN,EPSG,2-6-1995,NaN,0
7025,NWL 9D,6378145,9001,298.25,NaN,1,Used by Transit Precise Ephemeris between October 1971 and January 1987.,NaN,EPSG,2-6-1995,NaN,0
7027,Plessis 1817,6376523,9001,308.64,NaN,1,Rescaling of Delambre 1810 figure (a=6376985 m) to make meridional arc from equator to pole equal to 10000000 metres exactly. (Ref: Strasser).,IGN Paris "Constants d'Ellipsoides" February 1972.,EPSG,2-6-1995,NaN,0
7028,Struve 1860,6378298.3,9001,294.73,NaN,1,"Original definition of semi-major axis given as 3272539 toise.  In ""Ellipsoidisch Parameter der Erdfigur (1800-1950)"" , Strasser suggests a conversion factor of 1.94903631 which gives a=6378297.337 metres.","Geodesia y Cartografia Matematica" by Fernando Martin Asin; ISBN 84-398-0248-X.,EPSG,11-11-1998,1998.070 1998.340,0
7029,War Office,6378300,9001,296,NaN,1,"In non-metric form, a=20926201 Gold Coast feet. DMA Technical Manual 8358.1 and data derived from this quotes value for semi-major axis as 6378300.58m: OGP recommends use of defined value 6378300m exactly.","Tables for the use of the Gold Coast Survey Department, 1935.",EPSG,29-10-2009,2009.075,0
7030,WGS 84,6378137,9001,298.257223563,NaN,1,1/f derived from four defining parameters semi-major axis; C20 = -484.16685*10e-6; earth's angular velocity  = 7292115e-11 rad/sec; gravitational constant GM = 3986005e8 m*m*m/s/s. In 1994 new GM = 3986004.418e8 m*m*m/s/s but a and 1/f retained.,DMA Technical Manual 8350.2-B,EPSG,25-11-2015,1998.320 2015.047,0
7031,GEM 10C,6378137,9001,298.257223563,NaN,1,Used for  GEM 10C Gravity Potential Model.,NaN,EPSG,2-6-1995,1998.320,0
7032,OSU86F,6378136.2,9001,298.257223563,NaN,1,Used for OSU86 gravity potential (geoidal) model.,NaN,EPSG,2-6-1995,1998.320,0
7033,OSU91A,6378136.3,9001,298.257223563,NaN,1,Used for OSU91 gravity potential (geoidal) model.,NaN,EPSG,2-6-1995,1998.320,0
7034,Clarke 1880,20926202,9005,NaN,20854895,1,Clarke gave a and b and also 1/f=293.465 (to 3 decimal places exactly). In the 19th century b was normally given as the second defining parameter.,"Ellipsoidisch Parameter der Erdfigur (1800-1950)" by Georg Strasser.,EPSG,26-6-2008,2008.057,0
7035,Sphere,6371000,9001,NaN,6371000,0,Authalic sphere.  1/f is infinite. Superseded by GRS 1980 authalic sphere (code 7047).,NaN,EPSG,2-6-1995,NaN,1
