CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
201701,4-3-2017,13-6-2017,IOGP,Amend Trinidad and Tobago Naparima data remarks,,,NaN,"For datums 6158 and 6271 and CRSs 4158 and 4271, amended remarks. For transformations 1192 and 1556, amended scope and remarks. For transformation 1307, amended remarks."
2017027,6-6-2017,14-7-2017,IOGP,Add IGS14,,7789,NaN,"Added datum 1191 and CRS 8227. For CRS 7789, added alias."
2017029,24-6-2017,14-7-2017,IOGP,Make spelling of realization consistent,,,NaN,"For datums 1042, 1061, 1080, 1082-94, 1141, 1165, 5100, 5110, 5117, 5129, 5208-09, 5215, 6170, 6258, 6326, 6647-56, 6674, 6745-46 and 6896, transformation 7892 and CRSs 4258, 4936-37 and 6647, in remarks amended spelling of realization. For transformations 1098, 1149-50, 1283, 1591, 1611, 1648, 1958, 4076, 4905, 5261, 6710, 7941-51, 15738 and 15966, in scope amended spelling of realization. For transformations 1150, 1210, amended scope."
201704,19-9-2017,21-2-2019,IOGP,Add support for P7 wellbore survey,,,NaN,"Added CS axes 1028-30; CSs 1047-50; datums 1203, 1205 and 1222; CRSs 8377-78, 8820-21 and 8896-97; coordinate operation parameters 1059-60; and coordinate operation methods 1076-77. Deprecated datum 9315 and CRSs 5806-07."
2017042,23-9-2017,16-10-2017,IOGP,Correct Fiji ellipsoid remarks,,7055,NaN,"In remarks, corrected position of apostrophe."
2017047,22-10-2017,19-1-2018,IOGP,Remove spurious alias in US transformation,,6864,NaN,"For transformation 6864, removed alias."
2017048,28-10-2017,19-1-2018,IOGP,Correct Australia transformation cross-reference,,1458,NaN,"For transformation 1458, in remarks corrected code for cross-referenced transformation."
2017053,19-11-2017,19-1-2018,IOGP,Correct Austria area spelling,,4485,NaN,"For area 4455, in name and description, corrected spelling of Salzburg."
2017054,19-11-2017,19-1-2018,IOGP,Correct US area spelling,,2235,NaN,"For area 2235, in name capitalised Island."
2018001,11-1-2018,19-1-2018,IOGP,Harmonise Helmert method names,,,NaN,"For methods 1032-33, 1037-38, 1053-55, 1057, 1066 and 9606-07, harmonised rendering of capitalisation of method name (including in cross-referencing remarks and formulas).  For methods 1063 and 9636, in formula corrected method name."
