UOM_CODE,UNIT_OF_MEAS_NAME,UNIT_OF_MEAS_TYPE,TARGET_UOM_CODE,FACTOR_B,FACTOR_C,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,DEPRECATED
1025,millimetre,length,9001,1,1000,NaN,ISO 1000.,EPSG,25-11-2015,2013.021 2015.062,0
1031,milliarc-second,angle,9101,3.14159E+14,648000000,= ((pi/180) / 3600 / 1000) radians,NaN,EPSG,25-11-2015,2013.021 2015.062,0
1033,centimetre,length,9001,1,100,NaN,ISO 1000.,EPSG,25-11-2015,2013.021 2015.062,0
9002,foot,length,9001,3048,1,NaN,ISO 1000; 1958,EPSG,25-11-2015,2015.062,0
9003,US survey foot,length,9001,12,3937,Used in USA.,OGP,EPSG,25-11-2015,1999.990 2015.062,0
9005,Clarke's foot,length,9001,3047972654,1,"Assumes Clarke's 1865 ratio of 1 British foot = 0.3047972654 French legal metres applies to the international metre.   Used in older Australian, southern African & British West Indian mapping.",Australian Land Information Group  www.auslig.gov.au,EPSG,25-11-2015,1997.233 1999.990 2000.050 2005.370 2005.460 2015.062,0
9014,fathom,length,9001,18288,1,= 6 feet.,NaN,EPSG,25-11-2015,2015.062,0
9030,nautical mile,length,9001,1852,1,NaN,NaN,EPSG,25-11-2015,1996.240 2015.062,0
9031,German legal metre,length,9001,10000135965,1,Used in Namibia.,Chief Directorate Surveys and Land Information; Mowbray; South Africa,EPSG,25-11-2015,2015.062,0
9033,US survey chain,length,9001,792,3937,Used in USA primarily for public lands cadastral work.,Bureau of Land Management technical bulletin 6 (1973) and Standard Field Tables 8th edition (1956).,EPSG,25-11-2015,1999.990 2015.062,0
9034,US survey link,length,9001,792,3937,Used in USA primarily for public lands cadastral work.,Bureau of Land Management technical bulletin 6 (1973) and Standard Field Tables 8th edition (1956).,EPSG,25-11-2015,1999.990 2015.062,0
9035,US survey mile,length,9001,63360,3937,Used in USA primarily for public lands cadastral work.,Bureau of Land Management technical bulletin 6 (1973) and Standard Field Tables 8th edition (1956).,EPSG,25-11-2015,1999.990 2015.062,0
9036,kilometre,length,9001,1000,1,NaN,ISO 1000.,EPSG,25-11-2015,2015.062,0
9037,Clarke's yard,length,9001,9143917962,1,"=3 Clarke's feet.  Assumes Clarke's 1865 ratio of 1 British foot = 0.3047972654 French legal metres applies to the international metre.   Used in older Australian, southern African & British West Indian mapping.",Australian Land Information Group  www.auslig.gov.au,EPSG,25-11-2015,1997.233 1999.990 2005.370 2005.460 2015.062,0
9038,Clarke's chain,length,9001,2.01166E+11,1,"=22 Clarke's yards.  Assumes Clarke's 1865 ratio of 1 British foot = 0.3047972654 French legal metres applies to the international metre.   Used in older Australian, southern African & British West Indian mapping.",Australian Land Information Group  www.auslig.gov.au,EPSG,25-11-2015,1997.233 1999.990 2005.370 2005.460 2015.062,0
