UOM_CODE,UNIT_OF_MEAS_NAME,UNIT_OF_MEAS_TYPE,TARGET_UOM_CODE,FACTOR_B,FACTOR_C,REMARKS,INFORMATION_SOURCE,DATA_SOURCE,REVISION_DATE,CHANGE_ID,DEPRECATED
9201,unity,scale,9201,1,1,,,IOGP,25-11-2015,2015.062,FALSE
9202,parts per million,scale,9201,1,1000000,,,IOGP,25-11-2015,2013.021 2013.037 2015.062,FALSE
9203,coefficient,scale,9201,1,1,Used when parameters are coefficients.  They inherently take the units which depend upon the term to which the coefficient applies.,OGP,OGP,14-09-2004,2004.530,FALSE
9204,Bin width 330 US survey feet,length,9001,3960,39.37,,OGP,OGP,19-10-2000,2000.590 2011.106,TRUE
9205,Bin width 165 US survey feet,length,9001,1980,39.37,,OGP,OGP,19-10-2000,2000.590 2011.106,TRUE
9206,Bin width 82.5 US survey feet,length,9001,990,39.37,,OGP,OGP,19-10-2000,2000.590 2011.106,TRUE
9207,Bin width 37.5 metres,length,9001,37.5,1,,OGP,OGP,19-10-2000,2000.590 2011.106,TRUE
9208,Bin width 25 metres,length,9001,25,1,,OGP,OGP,19-10-2000,2000.590 2011.106,TRUE
9209,Bin width 12.5 metres,length,9001,12.5,1,,OGP,OGP,19-10-2000,2000.590 2011.106,TRUE
9210,Bin width 6.25 metres,length,9001,6.25,1,,OGP,OGP,19-10-2000,2000.590 2011.106,TRUE
9211,Bin width 3.125 metres,length,9001,3.125,1,,OGP,OGP,19-10-2000,2000.590 2011.106,TRUE
9300,British foot (Sears 1922 truncated),length,9001,0.914398,3,"Uses Sear's 1922 British yard-metre ratio (UoM code 9040) truncated to 6 significant figures; this truncated ratio (0.914398, UoM code 9099) then converted to other imperial units. 3 ftSe(T) = 1 ydSe(T).",Defence Geographic Centre,IOGP,25-11-2015,2006.901 2015.062,FALSE
9301,British chain (Sears 1922 truncated),length,9001,20.116756,1,"Uses Sear's 1922 British yard-metre ratio (UoM code 9040) truncated to 6 significant figures; this truncated ratio (0.914398, UoM code 9099) then converted to other imperial units. 1 chSe(T) = 22 ydSe(T). Used in metrication of Malaya RSO grid.",Defence Geographic Centre,IOGP,25-11-2015,2006.901 2015.062,FALSE
9302,British link (Sears 1922 truncated),length,9001,20.116756,100,"Uses Sear's 1922 British yard-metre ratio (UoM code 9040) truncated to 6 significant figures; this truncated ratio (0.914398, UoM code 9099) then converted to other imperial units. 100 lkSe(T) = 1 chSe(T).",Defence Geographic Centre,IOGP,25-11-2015,2006.901 2015.062,FALSE
