CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
2002.81,13-09-2002,21-01-2003,EPSG,Check Sudan datum,Coordinate Reference System; Datum,"4296, 29635-36; 6296",,"Amended area 1552-53; added area 2825-27. Deprecated CRSs 4296 and 29635-36, datum 6296. Added projCRS 20134-36."
2002.82,01-11-2002,18-11-2002,EPSG,Correct area text,Area,2286,,Added closing parenthesis around NSW in area name.
2002.83,01-11-2002,21-01-2003,EPSG,Review NAD83 ITRF transformations,Coordinate Operation,1308 1515 1850,,"Deprecated tfm 1308 and 1515. Added tfm 1900-01, 1946. Corrected variant for tfm 1850 from 2 to 3."
2002.84,01-11-2002,21-01-2003,EPSG,Check Cameroon data,Coordinate Reference System,2215 4193 4197,,Deleted remarks from geogCRS 4197. In remarks for geogCRS 4193 corrected spelling of Bukavu and changed datum to CRS. Added remarks to projCRS 2215. Added tfm 1902 and concat tfm 8646.
2002.85,07-11-2002,18-11-2002,EPSG,Correct ellipsoidal CS unit description.,Coordinate System,6401-03,See also 2002.780.,Corrected order of north and east in CS name for CS 6401-03.  Added additional remarks to CS 6401-02.
2002.86,07-11-2002,18-11-2002,Alan Haugh; Hydrosearch,Correct angle unit remarks,Unit of Measure,9102-06 9112-13.,,"Added ""radians"" to formula within remarks for UoM 9102-06 and 9112-13."
2002.87,11-11-2002,21-01-2003,Georg Haefele; IABG,Add Comoros data,,,No transformation information available from IGN.,"Added Area 2807-09, datum 6646, geog CRS 4646 and projCRS 2999."
2002.871,11-11-2002,25-02-2003,EPSG,Add French Overseas Territories data,Coordinate Reference System; Datum; Area,4235; 6235; 1099,,"Added Area 2810-2824, CS 4492, datum 6621-6645, geog CRS 4621-45, proj 19981-83, projCRS 2969-73, 2975--90 and 2995-98, tfm 1903-1934. Deprecated datum 6235 and CRS 4235. Added remarks to area 1099."
2002.88,11-11-2002,30-09-2003,Georg Haefele; IABG,Add Iceland data,,,,"Added Area 2851-53; ellipsoid 7051, datum 6657-59; proj 19987-89; geogCRS 4386 4657-59 66576405 66586405 66596405 66596413; geocenCRS 4387; projCRS 3052-57; tfm 1951-52 and 1994."
2002.89,27-11-2002,21-01-2003,EPSG,Add ITRF,Datum,6326,,"Added datums 6647-56; geocentric CRSs 4330-38 and 4385, tfm 1935-43. Added remarks to datum 6326 (WGS84)."
2002.9,02-12-2002,09-12-2002,EPSG,Correct remarks for Netherlands transformations,Coordinate Operation,"1112, 1672",Corrected incorrect reference to Amersfoort to ETRS89 (2) to ETRS89 (1).,Amended remarks for transformations 1112 and 1751.
2002.91,17-12-2002,21-01-2003,OGC,Add US Oregon projection,,,,Added proj 13633 and 15374; projCRS 2991-94.
2002.92,18-12-2002,21-01-2003,Melita Kennedy; ESRI,Correct formula for spherical radius,Coordinate Operation Method,9823,Changed formula for R from R = b to R = sqrt(Mo * No). Also amended GN7.,Changed formula for R.
2002.93,18-12-2002,21-01-2003,EPSG,Correct CS axes for UPS,Coordinate Reference System,"32661, 32761",,Added CS 4493-94. Amended CRS 32661 and 32761 to use these CS.
2002.94,18-12-2002,30-09-2003,EPSG,Include coordinate operation formula rather than citations,Coordinate Operation Method,9820 9822 9827 9828,,Added formula to methods 9820 9822 9827 9828; example to method 9820.
2002.95,18-12-2002,31-01-2003,Norm Berls; Geoquest,Correct Krovak formula,Coordinate Operation Method,9819,Also corrected GN7. Note: date closed wrongly documented in v6.3 and corrected in v6.4.,Corrected formula and amended example for coord op method 9819.
2002.96,18-12-2002,16-03-2006,EPSG,Check Oblique Stereographic formula,Coordinate Operation Method,9809,Descrepancy in implementations of about 0.06m has been reported.,Investigation to be actioned when resources permit.
2002.97,18-12-2002,21-01-2003,EPSG,Amend show CRS switch setting,Coordinate Reference System,4188,,Changed Show? from No to Yes.
2003.01,03-01-2003,08-01-2003,Martin Daly; Cadcorp,Review precision of British National Grid parameters,Coordinate Operation,19916,This change will affect conversions by a maximum of 0.4mm. This is not considered to be a critical change: parameter value has been amended rather than deprecated and replaced. Note: date closed wrongly documented in v6.3 and corrected in v6.4.,Changed SF value from 0.999601272 to 0.9996012717. Included change record reference in dependent projCRS 27700.
2003.02,15-01-2003,21-01-2003,Frank Warmerdam,Correct projCRS prime meridian and projection inconsistency,Coordinate Reference System,2934 21100 25700 26591-92,This deprecation and replacement effectively renames the CRSs.,"Deprecated CRSs 2934, 21100, 25700, 26591-92 and replaced them with 3000-3004. Added remarks regarding longitude reference to proj 18041-43, 18047-49, 18081-84, 18091-94, 18221-28, 19901, 19903, 19911, 19921, 19923, 19936-37, 19952, 19969, 19979."
2003.021,04-02-2003,05-02-2003,Bernard Snyers; Ionic Software,Correct Italy prime meridian and projection inconsistency,Coordinate Reference System,26591-92,See change record 2002.020.,Advised correspondent.
2003.03,21-01-2003,30-09-2003,EPSG,Add Netherlands transformation,,,,Added tfm 1960-61.
2003.04,31-01-2003,30-09-2003,EPSG,Add French Overseas Territories vertical datums,,,,Added datums 5153-56 and vertCRSs 5755-58.
