M,Z
354.908,-17.1
355.907,-17.09
356.907,-17.079
357.907,-17.069
358.907,-17.058
359.906,-17.047
360.906,-17.037
361.906,-17.026
362.906,-17.015
363.905,-17.005
364.905,-16.994
365.905,-16.983
366.905,-16.973
367.904,-16.962
368.904,-16.952
369.904,-16.941
370.903,-16.93
371.903,-16.92
372.903,-16.909
373.903,-16.898
374.902,-16.888
375.902,-16.877
376.902,-16.866
377.902,-16.855
378.901,-16.845
379.901,-16.834
380.901,-16.823
381.901,-16.812
382.9,-16.801
383.9,-16.79
384.9,-16.779
385.9,-16.768
386.899,-16.757
387.899,-16.746
388.899,-16.735
389.899,-16.724
390.898,-16.713
391.898,-16.703
392.898,-16.692
393.898,-16.681
394.897,-16.671
395.897,-16.66
396.897,-16.65
397.896,-16.639
398.896,-16.628
399.896,-16.618
400.896,-16.607
401.895,-16.596
402.895,-16.586
403.895,-16.575
404.895,-16.564
405.894,-16.554
406.894,-16.543
407.894,-16.532
408.894,-16.521
409.893,-16.511
410.893,-16.5
411.893,-16.489
412.893,-16.479
413.892,-16.468
414.892,-16.457
415.892,-16.447
416.892,-16.436
417.891,-16.425
418.891,-16.414
419.891,-16.404
420.89,-16.393
421.89,-16.382
422.89,-16.372
423.89,-16.361
424.889,-16.35
425.889,-16.339
426.889,-16.329
427.889,-16.318
428.888,-16.307
429.888,-16.297
430.888,-16.286
431.888,-16.275
432.887,-16.264
433.887,-16.254
434.887,-16.243
435.887,-16.232
436.886,-16.221
437.886,-16.211
438.886,-16.2
439.886,-16.189
440.885,-16.178
441.885,-16.167
442.885,-16.157
443.885,-16.146
444.884,-16.135
445.884,-16.124
446.884,-16.114
447.883,-16.103
448.883,-16.092
449.883,-16.081
450.883,-16.07
451.882,-16.06
452.882,-16.049
453.882,-16.038
454.882,-16.027
455.881,-16.017
456.881,-16.006
457.881,-15.995
458.881,-15.984
459.88,-15.973
460.88,-15.962
461.88,-15.952
462.88,-15.941
463.879,-15.93
464.879,-15.919
465.879,-15.908
466.879,-15.898
467.878,-15.887
468.878,-15.876
469.878,-15.865
470.877,-15.854
471.877,-15.843
472.877,-15.833
473.877,-15.822
474.876,-15.811
475.876,-15.8
476.876,-15.79
477.876,-15.78
478.875,-15.769
479.875,-15.759
480.875,-15.748
481.875,-15.738
482.874,-15.728
483.874,-15.717
484.874,-15.707
485.874,-15.697
486.873,-15.686
487.873,-15.676
488.873,-15.665
489.873,-15.655
490.872,-15.644
491.872,-15.634
492.872,-15.624
493.871,-15.613
494.871,-15.603
495.871,-15.592
496.871,-15.582
497.87,-15.571
498.87,-15.561
499.87,-15.551
500.87,-15.54
501.869,-15.53
502.869,-15.519
503.869,-15.509
504.869,-15.498
505.868,-15.488
506.868,-15.477
507.868,-15.467
508.868,-15.456
509.867,-15.446
510.867,-15.435
511.867,-15.425
512.867,-15.414
513.866,-15.404
514.866,-15.393
515.866,-15.382
516.866,-15.372
517.865,-15.361
518.865,-15.351
519.865,-15.34
520.864,-15.33
521.864,-15.319
522.864,-15.309
523.864,-15.298
524.863,-15.287
525.863,-15.277
526.863,-15.266
527.863,-15.256
528.862,-15.245
529.862,-15.234
530.862,-15.224
531.862,-15.213
532.861,-15.203
533.861,-15.192
534.861,-15.181
535.861,-15.171
536.86,-15.16
537.86,-15.149
538.86,-15.139
539.86,-15.128
540.859,-15.117
541.859,-15.107
542.859,-15.096
543.858,-15.085
544.858,-15.075
545.858,-15.064
546.858,-15.053
547.857,-15.043
548.857,-15.032
549.857,-15.021
550.857,-15.011
551.856,-15
552.856,-14.989
553.856,-14.978
554.856,-14.968
555.855,-14.957
556.855,-14.946
557.855,-14.935
558.855,-14.925
559.854,-14.914
560.854,-14.903
561.854,-14.892
562.854,-14.882
563.853,-14.871
564.853,-14.86
565.853,-14.849
566.853,-14.839
567.852,-14.828
568.852,-14.817
569.852,-14.806
570.851,-14.795
571.851,-14.785
572.851,-14.774
573.851,-14.763
574.85,-14.755
575.85,-14.748
576.85,-14.741
577.85,-14.733
578.849,-14.726
579.849,-14.719
580.849,-14.712
581.849,-14.704
582.848,-14.697
583.848,-14.69
584.848,-14.683
585.848,-14.676
586.847,-14.668
587.847,-14.661
588.847,-14.654
589.847,-14.647
590.846,-14.64
591.846,-14.633
592.846,-14.625
593.845,-14.618
594.845,-14.611
595.845,-14.604
596.845,-14.597
597.844,-14.59
598.844,-14.583
599.844,-14.576
600.844,-14.569
601.843,-14.561
602.843,-14.554
603.843,-14.547
604.843,-14.54
605.842,-14.533
606.842,-14.526
607.842,-14.519
608.842,-14.512
609.841,-14.505
610.841,-14.498
611.841,-14.491
612.841,-14.484
613.84,-14.477
614.84,-14.47
615.84,-14.463
616.84,-14.456
617.839,-14.449
618.839,-14.442
619.839,-14.436
620.838,-14.429
621.838,-14.422
622.838,-14.415
623.838,-14.408
624.837,-14.401
625.837,-14.394
626.837,-14.387
627.837,-14.38
628.836,-14.374
629.836,-14.367
630.836,-14.36
631.836,-14.353
632.835,-14.346
633.835,-14.339
634.835,-14.333
635.835,-14.326
636.834,-14.319
637.834,-14.312
638.834,-14.306
639.834,-14.299
640.833,-14.294
641.833,-14.29
642.833,-14.285
643.832,-14.281
644.832,-14.276
645.832,-14.272
646.832,-14.267
647.831,-14.262
648.831,-14.258
649.831,-14.253
650.831,-14.249
651.83,-14.244
