 
200904041500	1.51	10.53	257	7.92	-0.0272	0.1476	258
200904041600	1.42	11.11	258	7.88	-0.0237	0.1289	258
200904041700	1.36	11.11	258	7.85	-0.0216	0.1171	258
200904041800	1.28	11.11	258	7.76	-0.0191	0.1033	258
200904041900	1.21	11.11	257	7.66	-0.0171	0.0912	258
200904042000	1.17	11.11	257	7.72	-0.0160	0.0849	258
200904042100	1.16	11.11	257	7.78	-0.0162	0.0842	258
200904042200	1.12	10.53	258	7.79	-0.0145	0.0776	258
200904042300	1.10	10.53	258	7.82	-0.0137	0.0750	257
200904050000	1.07	11.11	257	7.84	-0.0126	0.0705	257
200904050100	1.06	11.11	258	7.85	-0.0123	0.0687	257
200904050200	1.05	11.11	258	8.01	-0.0118	0.0690	256
200904050300	1.04	11.11	258	8.17	-0.0108	0.0682	256
200904050400	1.02	10.53	257	8.30	-0.0099	0.0670	255
200904050500	1.01	10.53	256	8.36	-0.0095	0.0660	255
200904050600	1.00	9.87	259	8.43	-0.0092	0.0655	254
200904050700	1.02	9.87	259	8.58	-0.0096	0.0698	254
200904050800	1.08	9.87	259	8.79	-0.0107	0.0794	254
200904050900	1.10	9.87	259	8.89	-0.0108	0.0821	254
200904051000	1.06	9.87	259	8.89	-0.0100	0.0771	254
200904051100	1.00	9.87	258	8.76	-0.0085	0.0669	253
200904051200	1.00	9.09	259	8.73	-0.0086	0.0663	254
200904051300	0.97	10.53	257	8.77	-0.0084	0.0631	254
200904051400	0.96	10.53	257	8.85	-0.0079	0.0610	254
200904051500	0.91	10.53	257	9.06	-0.0066	0.0554	253
200904051600	0.89	9.87	259	9.27	-0.0060	0.0534	252
200904051700	0.88	11.11	257	9.56	-0.0056	0.0530	252
200904051800	0.90	11.11	258	9.58	-0.0063	0.0562	252
200904051900	0.90	11.11	258	9.44	-0.0062	0.0548	252
200904052000	0.85	11.11	258	9.17	-0.0051	0.0489	252
200904052100	0.83	11.11	258	8.94	-0.0041	0.0455	250
200904052200	0.84	11.11	258	9.00	-0.0035	0.0467	249
200904052300	0.83	11.11	258	8.97	-0.0030	0.0456	249
200904060000	0.83	10.53	258	9.12	-0.0033	0.0464	249
200904060100	0.83	10.53	258	9.29	-0.0036	0.0463	250
200904060200	0.80	11.11	257	9.65	-0.0031	0.0439	249
200904060300	0.78	11.11	258	9.90	-0.0026	0.0420	249
200904060400	0.76	11.11	258	10.18	-0.0015	0.0395	247
200904060500	0.72	11.11	257	10.27	-0.0007	0.0355	245
200904060600	0.67	15.38	205	10.39	0.0002	0.0305	244
200904060700	0.65	10.53	258	10.27	-0.0003	0.0285	245
200904060800	0.67	10.53	257	10.33	-0.0008	0.0302	246
200904060900	0.67	10.53	257	10.41	-0.0004	0.0301	245
200904061000	0.64	10.53	257	10.50	0.0007	0.0277	242
200904061100	0.63	15.38	205	10.58	0.0011	0.0263	241
200904061200	0.62	15.38	206	10.70	0.0014	0.0256	240
200904061300	0.60	14.29	207	10.84	0.0014	0.0244	240
200904061400	0.59	14.29	207	11.00	0.0020	0.0229	238
200904061500	0.57	15.38	207	11.03	0.0022	0.0215	237
200904061600	0.58	15.38	207	11.04	0.0026	0.0221	236
200904061700	0.60	15.38	207	10.90	0.0027	0.0239	236
200904061800	0.61	14.29	209	10.71	0.0028	0.0248	236
200904061900	0.62	15.38	211	10.39	0.0029	0.0250	236
200904062000	0.62	15.38	211	10.10	0.0034	0.0250	235
200904062100	0.63	15.38	212	9.90	0.0036	0.0255	234
200904062200	0.63	15.38	214	9.83	0.0035	0.0254	234
200904062300	0.63	15.38	215	9.77	0.0031	0.0261	236
200904070000	0.64	15.38	216	9.44	0.0027	0.0265	237
200904070100	0.66	15.38	216	9.20	0.0024	0.0282	238
200904070200	0.68	15.38	216	9.31	0.0025	0.0305	238
200904070300	0.72	15.38	216	9.44	0.0025	0.0341	239
200904070400	0.74	14.29	220	9.41	0.0020	0.0361	240
200904070500	0.75	14.29	226	9.47	0.0013	0.0376	241
200904070600	0.75	14.29	228	9.76	0.0012	0.0387	242
200904070700	0.73	14.29	225	10.01	0.0015	0.0368	241
200904070800	0.73	14.29	223	10.41	0.0018	0.0365	240
200904070900	0.73	13.33	240	10.80	0.0021	0.0371	240
200904071000	0.77	13.33	237	11.14	0.0022	0.0419	240
200904071100	0.80	13.33	235	11.22	0.0018	0.0458	241
200904071200	0.83	13.33	235	11.25	0.0009	0.0504	243
200904071300	0.85	12.50	246	11.31	0.0002	0.0530	244
200904071400	0.87	13.33	239	11.43	0.0001	0.0550	244
200904071500	0.85	13.33	237	11.49	0.0003	0.0530	244
200904071600	0.85	13.33	237	11.54	0.0002	0.0524	244
200904071700	0.84	13.33	237	11.48	0.0003	0.0517	244
200904071800	0.85	13.33	235	11.44	0.0003	0.0518	244
200904071900	0.85	14.29	221	11.47	0.0003	0.0523	244
200904072000	0.84	13.33	230	11.44	-0.0000	0.0508	244
200904072100	0.84	12.50	243	11.21	-0.0005	0.0508	245
200904072200	0.83	12.50	243	11.00	-0.0007	0.0498	245
200904072300	0.82	13.33	243	10.78	-0.0009	0.0485	245
200904080000	0.83	13.33	242	10.61	-0.0007	0.0491	245
200904080100	0.84	13.33	238	10.29	-0.0004	0.0498	245
200904080200	0.86	13.33	235	10.13	-0.0002	0.0509	244
200904080300	0.87	11.11	257	10.01	-0.0012	0.0526	246
200904080400	0.88	12.50	241	10.10	-0.0018	0.0537	246
200904080500	0.89	12.50	245	10.21	-0.0023	0.0563	247
200904080600	0.89	12.50	246	10.24	-0.0022	0.0558	247
200904080700	0.86	13.33	235	10.19	-0.0017	0.0517	246
200904080800	0.83	12.50	245	10.13	-0.0018	0.0477	247
200904080900	0.81	12.50	243	9.98	-0.0019	0.0459	247
200904081000	0.85	12.50	243	9.55	-0.0028	0.0506	248
200904081100	0.89	11.11	252	9.10	-0.0036	0.0545	249
200904081200	0.92	11.11	254	8.90	-0.0044	0.0577	250
200904081300	0.92	11.11	256	8.89	-0.0048	0.0582	250
200904081400	0.91	11.11	257	8.88	-0.0050	0.0561	251
200904081500	0.92	11.11	258	8.78	-0.0058	0.0572	252
200904081600	0.91	11.11	257	8.46	-0.0059	0.0553	252
200904081700	0.89	10.53	257	8.00	-0.0052	0.0514	251
200904081800	0.89	10.53	257	7.65	-0.0053	0.0504	252
200904081900	0.88	11.11	256	7.24	-0.0055	0.0475	252
200904082000	0.88	11.11	256	6.90	-0.0055	0.0458	252
200904082100	0.89	11.11	256	6.58	-0.0055	0.0453	252
200904082200	0.92	11.11	256	6.30	-0.0062	0.0465	253
200904082300	0.96	11.11	255	6.00	-0.0070	0.0477	254
200904090000	1.00	10.53	256	5.78	-0.0084	0.0496	255
200904090100	1.08	10.53	257	5.74	-0.0107	0.0562	256
200904090200	1.19	5.88	271	5.82	-0.0147	0.0680	258
200904090300	1.23	5.88	271	5.88	-0.0165	0.0727	259
200904090400	1.22	5.88	271	5.92	-0.0164	0.0725	259
200904090500	1.20	5.88	273	5.96	-0.0160	0.0696	259
200904090600	1.18	5.88	272	5.95	-0.0157	0.0678	259
200904090700	1.18	5.56	272	5.94	-0.0154	0.0672	259
200904090800	1.13	5.56	271	5.87	-0.0130	0.0622	258
200904090900	1.08	5.56	269	5.89	-0.0103	0.0570	256
200904091000	1.02	10.53	254	5.97	-0.0082	0.0525	254
200904091100	0.97	9.87	257	6.06	-0.0066	0.0487	253
200904091200	0.94	9.87	257	6.17	-0.0056	0.0468	252
200904091300	0.92	9.87	258	6.27	-0.0052	0.0458	252
200904091400	0.93	9.87	258	6.36	-0.0053	0.0474	252
200904091500	0.92	9.87	258	6.31	-0.0055	0.0464	252
200904091600	0.90	16.67	229	6.36	-0.0048	0.0441	251
200904091700	0.88	16.67	230	6.64	-0.0037	0.0429	250
200904091800	0.84	16.67	231	7.07	-0.0025	0.0413	248
200904091900	0.82	16.67	232	7.59	-0.0018	0.0411	247
200904092000	0.78	16.67	230	7.67	-0.0012	0.0366	246
200904092100	0.74	16.67	229	7.61	-0.0008	0.0334	246
200904092200	0.71	16.67	226	6.95	-0.0005	0.0290	245
200904092300	0.73	16.67	226	6.30	-0.0008	0.0292	246
