M,Z
443.321,-10.678
444.566,-10.679
445.811,-10.681
447.057,-10.682
448.302,-10.683
449.547,-10.685
450.792,-10.686
452.038,-10.687
453.283,-10.689
454.528,-10.69
455.774,-10.691
457.019,-10.693
458.264,-10.694
459.509,-10.695
460.755,-10.697
462,-10.698
463.245,-10.699
464.491,-10.7
465.736,-10.702
466.981,-10.703
468.226,-10.704
469.472,-10.706
470.717,-10.707
471.962,-10.708
473.208,-10.71
474.453,-10.711
475.698,-10.712
476.943,-10.714
478.189,-10.715
479.434,-10.716
480.679,-10.718
481.924,-10.71
483.17,-10.7
484.415,-10.69
485.66,-10.68
486.906,-10.669
488.151,-10.659
489.396,-10.648
490.641,-10.637
491.887,-10.626
493.132,-10.615
494.377,-10.604
495.623,-10.592
496.868,-10.581
498.113,-10.569
499.358,-10.557
500.604,-10.545
501.849,-10.533
503.094,-10.521
504.34,-10.508
505.585,-10.495
506.83,-10.483
508.075,-10.47
509.321,-10.457
510.566,-10.443
511.811,-10.43
513.057,-10.417
514.302,-10.403
515.547,-10.389
516.792,-10.375
518.038,-10.361
519.283,-10.347
520.528,-10.332
521.774,-10.318
523.019,-10.303
524.264,-10.288
525.509,-10.273
526.755,-10.258
528,-10.243
529.245,-10.228
530.491,-10.212
531.736,-10.196
532.981,-10.18
534.226,-10.164
535.472,-10.148
536.717,-10.132
537.962,-10.115
539.207,-10.099
540.453,-10.082
541.698,-10.065
542.943,-10.048
544.189,-10.031
545.434,-10.014
546.679,-9.996
547.924,-9.979
549.17,-9.961
550.415,-9.943
551.66,-9.925
552.906,-9.907
554.151,-9.888
555.396,-9.87
556.641,-9.851
557.887,-9.832
559.132,-9.813
560.377,-9.794
561.623,-9.775
562.868,-9.755
564.113,-9.736
565.358,-9.716
566.604,-9.696
567.849,-9.676
569.094,-9.656
570.34,-9.636
571.585,-9.615
572.83,-9.595
574.075,-9.574
575.321,-9.553
576.566,-9.532
577.811,-9.511
579.057,-9.49
580.302,-9.468
581.547,-9.447
582.792,-9.425
584.038,-9.403
585.283,-9.381
586.528,-9.359
587.774,-9.336
589.019,-9.314
590.264,-9.291
591.509,-9.268
592.755,-9.245
594,-9.222
595.245,-9.199
596.491,-9.176
597.736,-9.152
598.981,-9.128
600.226,-9.105
601.472,-9.081
602.717,-9.056
603.962,-9.032
605.207,-9.008
606.453,-8.983
607.698,-8.958
608.943,-8.934
610.189,-8.909
611.434,-8.883
612.679,-8.858
613.924,-8.833
615.17,-8.807
616.415,-8.785
617.66,-8.766
618.906,-8.748
620.151,-8.731
621.396,-8.713
622.641,-8.695
623.887,-8.678
625.132,-8.674
626.377,-8.67
627.623,-8.666
628.868,-8.661
630.113,-8.657
631.358,-8.653
632.604,-8.648
633.849,-8.643
635.094,-8.639
636.34,-8.634
637.585,-8.629
638.83,-8.624
640.075,-8.619
641.321,-8.614
642.566,-8.608
643.811,-8.603
645.057,-8.597
646.302,-8.592
647.547,-8.586
648.792,-8.58
650.038,-8.574
651.283,-8.568
652.528,-8.562
653.774,-8.556
655.019,-8.55
656.264,-8.544
657.509,-8.537
658.755,-8.531
660,-8.524
661.245,-8.517
662.491,-8.51
663.736,-8.503
664.981,-8.496
666.226,-8.489
667.472,-8.482
668.717,-8.475
669.962,-8.467
671.207,-8.46
672.453,-8.452
673.698,-8.445
674.943,-8.437
676.189,-8.429
677.434,-8.421
678.679,-8.413
679.924,-8.405
681.17,-8.396
682.415,-8.388
683.66,-8.38
684.906,-8.371
686.151,-8.362
687.396,-8.354
688.641,-8.345
689.887,-8.336
691.132,-8.327
692.377,-8.318
693.623,-8.309
694.868,-8.299
696.113,-8.29
697.358,-8.28
698.604,-8.271
699.849,-8.261
701.094,-8.251
702.34,-8.242
703.585,-8.232
704.83,-8.222
706.075,-8.211
707.321,-8.201
708.566,-8.191
709.811,-8.18
711.057,-8.17
712.302,-8.159
713.547,-8.148
714.792,-8.138
716.038,-8.127
717.283,-8.116
718.528,-8.105
719.774,-8.093
721.019,-8.082
722.264,-8.071
723.509,-8.059
724.755,-8.048
726,-8.036
727.245,-8.024
728.49,-8.012
729.736,-8
730.981,-7.988
732.226,-7.976
733.472,-7.964
734.717,-7.952
735.962,-7.939
737.207,-7.927
738.453,-7.914
739.698,-7.901
740.943,-7.888
742.189,-7.876
743.434,-7.863
744.679,-7.849
