M,Z
354.955,-18.057
355.955,-18.051
356.955,-18.045
357.955,-18.039
358.955,-18.033
359.954,-18.028
360.954,-18.022
361.954,-18.016
362.954,-18.013
363.954,-18.009
364.954,-18.006
365.954,-18.003
366.954,-17.999
367.953,-17.996
368.953,-17.993
369.953,-17.989
370.953,-17.986
371.953,-17.982
372.953,-17.979
373.953,-17.976
374.953,-17.972
375.952,-17.969
376.952,-17.965
377.952,-17.962
378.952,-17.958
379.952,-17.955
380.952,-17.951
381.952,-17.948
382.952,-17.944
383.951,-17.941
384.951,-17.937
385.951,-17.934
386.951,-17.93
387.951,-17.927
388.951,-17.923
389.951,-17.92
390.951,-17.916
391.95,-17.913
392.95,-17.909
393.95,-17.906
394.95,-17.902
395.95,-17.899
396.95,-17.895
397.95,-17.892
398.95,-17.888
399.949,-17.884
400.949,-17.881
401.949,-17.877
402.949,-17.874
403.949,-17.87
404.949,-17.866
405.949,-17.863
406.949,-17.859
407.948,-17.855
408.948,-17.852
409.948,-17.848
410.948,-17.845
411.948,-17.841
412.948,-17.837
413.948,-17.834
414.947,-17.83
415.947,-17.826
416.947,-17.822
417.947,-17.819
418.947,-17.815
419.947,-17.811
420.947,-17.808
421.947,-17.804
422.946,-17.801
423.946,-17.799
424.946,-17.797
425.946,-17.795
426.946,-17.793
427.946,-17.79
428.946,-17.788
429.946,-17.786
430.945,-17.784
431.945,-17.782
432.945,-17.78
433.945,-17.777
434.945,-17.775
435.945,-17.773
436.945,-17.77
437.945,-17.768
438.944,-17.766
439.944,-17.763
440.944,-17.761
441.944,-17.758
442.944,-17.756
443.944,-17.753
444.944,-17.751
445.944,-17.748
446.943,-17.746
447.943,-17.743
448.943,-17.741
449.943,-17.738
450.943,-17.735
451.943,-17.733
452.943,-17.73
453.943,-17.727
454.942,-17.724
455.942,-17.722
456.942,-17.719
457.942,-17.716
458.942,-17.713
459.942,-17.71
460.942,-17.707
461.942,-17.704
462.941,-17.701
463.941,-17.699
464.941,-17.696
465.941,-17.692
466.941,-17.689
467.941,-17.686
468.941,-17.687
469.941,-17.688
470.94,-17.689
471.94,-17.69
472.94,-17.691
473.94,-17.693
474.94,-17.694
475.94,-17.695
476.94,-17.696
477.94,-17.697
478.939,-17.699
479.939,-17.7
480.939,-17.701
481.939,-17.702
482.939,-17.703
483.939,-17.705
484.939,-17.706
485.939,-17.707
486.938,-17.708
487.938,-17.71
488.938,-17.711
489.938,-17.712
490.938,-17.713
491.938,-17.715
492.938,-17.716
493.938,-17.717
494.937,-17.718
495.937,-17.719
496.937,-17.721
497.937,-17.722
498.937,-17.723
499.937,-17.724
500.937,-17.726
501.936,-17.727
502.936,-17.728
503.936,-17.729
504.936,-17.73
505.936,-17.732
506.936,-17.733
507.936,-17.734
508.936,-17.735
509.935,-17.736
510.935,-17.738
511.935,-17.739
512.935,-17.74
513.935,-17.741
514.935,-17.743
515.935,-17.744
516.935,-17.745
517.934,-17.746
518.934,-17.747
519.934,-17.749
520.934,-17.75
521.934,-17.751
522.934,-17.752
523.934,-17.754
524.934,-17.755
525.933,-17.756
526.933,-17.757
527.933,-17.758
528.933,-17.76
529.933,-17.761
530.933,-17.762
531.933,-17.763
532.933,-17.765
533.932,-17.766
534.932,-17.767
535.932,-17.768
536.932,-17.769
537.932,-17.771
538.932,-17.772
539.932,-17.773
540.932,-17.774
541.931,-17.776
542.931,-17.777
543.931,-17.778
544.931,-17.779
545.931,-17.78
546.931,-17.782
547.931,-17.783
548.931,-17.784
549.93,-17.785
550.93,-17.786
551.93,-17.788
552.93,-17.789
553.93,-17.79
554.93,-17.791
555.93,-17.793
556.93,-17.794
557.929,-17.795
558.929,-17.796
559.929,-17.797
560.929,-17.799
561.929,-17.8
562.929,-17.801
563.929,-17.802
564.929,-17.804
565.928,-17.805
566.928,-17.806
567.928,-17.807
568.928,-17.808
569.928,-17.81
570.928,-17.811
571.928,-17.812
572.928,-17.813
573.927,-17.815
574.927,-17.814
575.927,-17.81
576.927,-17.806
577.927,-17.802
578.927,-17.798
579.927,-17.794
580.926,-17.79
581.926,-17.786
582.926,-17.782
583.926,-17.778
584.926,-17.774
585.926,-17.77
586.926,-17.766
587.926,-17.762
588.925,-17.758
589.925,-17.754
590.925,-17.75
591.925,-17.746
592.925,-17.742
593.925,-17.738
594.925,-17.734
595.925,-17.73
596.924,-17.726
597.924,-17.721
598.924,-17.717
599.924,-17.713
600.924,-17.709
601.924,-17.705
602.924,-17.701
603.924,-17.696
604.923,-17.691
605.923,-17.687
606.923,-17.682
607.923,-17.677
608.923,-17.673
609.923,-17.668
610.923,-17.663
611.923,-17.658
612.922,-17.654
613.922,-17.649
614.922,-17.644
615.922,-17.639
616.922,-17.635
617.922,-17.63
618.922,-17.625
619.922,-17.62
620.921,-17.615
621.921,-17.61
622.921,-17.605
623.921,-17.6
624.921,-17.596
625.921,-17.591
626.921,-17.586
627.921,-17.581
628.92,-17.576
629.92,-17.571
630.92,-17.566
631.92,-17.561
632.92,-17.556
633.92,-17.551
634.92,-17.546
635.92,-17.541
636.919,-17.536
637.919,-17.53
638.919,-17.525
