M,Z
356.978,-17.417
357.978,-17.412
358.978,-17.408
359.978,-17.404
360.977,-17.399
361.977,-17.394
362.977,-17.39
363.977,-17.385
364.977,-17.38
365.977,-17.375
366.977,-17.37
367.977,-17.365
368.977,-17.36
369.977,-17.354
370.977,-17.349
371.977,-17.343
372.977,-17.338
373.977,-17.332
374.977,-17.327
375.977,-17.321
376.976,-17.315
377.976,-17.309
378.976,-17.303
379.976,-17.297
380.976,-17.29
381.976,-17.284
382.976,-17.278
383.976,-17.271
384.976,-17.265
385.976,-17.258
386.976,-17.251
387.976,-17.244
388.976,-17.237
389.976,-17.23
390.976,-17.223
391.976,-17.216
392.975,-17.209
393.975,-17.202
394.975,-17.194
395.975,-17.187
396.975,-17.179
397.975,-17.171
398.975,-17.164
399.975,-17.156
400.975,-17.148
401.975,-17.14
402.975,-17.132
403.975,-17.124
404.975,-17.115
405.975,-17.107
406.975,-17.099
407.975,-17.09
408.974,-17.081
409.974,-17.073
410.974,-17.064
411.974,-17.055
412.974,-17.046
413.974,-17.036
414.974,-17.027
415.974,-17.017
416.974,-17.007
417.974,-16.997
418.974,-16.988
419.974,-16.978
420.974,-16.968
421.974,-16.959
422.974,-16.949
423.974,-16.939
424.973,-16.93
425.973,-16.92
426.973,-16.91
427.973,-16.901
428.973,-16.891
429.973,-16.881
430.973,-16.872
431.973,-16.862
432.973,-16.852
433.973,-16.843
434.973,-16.833
435.973,-16.823
436.973,-16.814
437.973,-16.804
438.973,-16.795
439.973,-16.785
440.972,-16.775
441.972,-16.766
442.972,-16.756
443.972,-16.746
444.972,-16.737
445.972,-16.727
446.972,-16.718
447.972,-16.708
448.972,-16.698
449.972,-16.689
450.972,-16.679
451.972,-16.677
452.972,-16.676
453.972,-16.674
454.972,-16.673
455.972,-16.671
456.971,-16.669
457.971,-16.668
458.971,-16.666
459.971,-16.665
460.971,-16.663
461.971,-16.661
462.971,-16.66
463.971,-16.658
464.971,-16.657
465.971,-16.655
466.971,-16.653
467.971,-16.652
468.971,-16.65
469.971,-16.649
470.971,-16.647
471.971,-16.646
472.97,-16.644
473.97,-16.642
474.97,-16.641
475.97,-16.639
476.97,-16.638
477.97,-16.636
478.97,-16.634
479.97,-16.633
480.97,-16.631
481.97,-16.63
482.97,-16.628
483.97,-16.626
484.97,-16.625
485.97,-16.623
486.97,-16.622
487.97,-16.62
488.969,-16.618
489.969,-16.617
490.969,-16.615
491.969,-16.614
492.969,-16.612
493.969,-16.61
494.969,-16.609
495.969,-16.607
496.969,-16.606
497.969,-16.604
498.969,-16.602
499.969,-16.601
500.969,-16.599
501.969,-16.598
502.969,-16.596
503.969,-16.594
504.968,-16.593
505.968,-16.591
506.968,-16.59
507.968,-16.588
508.968,-16.587
509.968,-16.585
510.968,-16.583
511.968,-16.582
512.968,-16.58
513.968,-16.578
514.968,-16.577
515.968,-16.575
516.968,-16.574
517.968,-16.572
518.968,-16.571
519.968,-16.569
520.967,-16.567
521.967,-16.566
522.967,-16.564
523.967,-16.563
524.967,-16.561
525.967,-16.559
526.967,-16.558
527.967,-16.556
528.967,-16.555
529.967,-16.553
530.967,-16.551
531.967,-16.55
532.967,-16.548
533.967,-16.547
534.967,-16.545
535.967,-16.543
536.966,-16.542
537.966,-16.54
538.966,-16.539
539.966,-16.537
540.966,-16.536
541.966,-16.534
542.966,-16.532
543.966,-16.531
544.966,-16.529
545.966,-16.528
546.966,-16.526
547.966,-16.524
548.966,-16.523
549.966,-16.521
550.966,-16.511
551.966,-16.498
552.965,-16.485
553.965,-16.472
554.965,-16.459
555.965,-16.445
556.965,-16.432
557.965,-16.418
558.965,-16.404
559.965,-16.391
560.965,-16.377
561.965,-16.363
562.965,-16.349
563.965,-16.335
564.965,-16.321
565.965,-16.307
566.965,-16.293
567.965,-16.278
568.964,-16.264
569.964,-16.249
570.964,-16.235
571.964,-16.22
572.964,-16.206
573.964,-16.191
574.964,-16.176
575.964,-16.161
576.964,-16.146
577.964,-16.131
578.964,-16.116
579.964,-16.1
580.964,-16.085
581.964,-16.07
582.964,-16.054
583.964,-16.038
584.963,-16.023
585.963,-16.007
586.963,-15.991
587.963,-15.975
588.963,-15.959
589.963,-15.943
590.963,-15.927
591.963,-15.911
592.963,-15.895
593.963,-15.879
594.963,-15.862
595.963,-15.846
596.963,-15.829
597.963,-15.812
598.963,-15.796
599.963,-15.779
600.962,-15.762
601.962,-15.745
602.962,-15.728
603.962,-15.711
604.962,-15.694
605.962,-15.676
606.962,-15.659
607.962,-15.641
608.962,-15.624
609.962,-15.606
610.962,-15.589
611.962,-15.571
612.962,-15.553
613.962,-15.535
614.962,-15.517
615.962,-15.499
616.961,-15.481
617.961,-15.463
618.961,-15.444
619.961,-15.426
620.961,-15.408
621.961,-15.389
622.961,-15.371
623.961,-15.352
624.961,-15.333
625.961,-15.314
626.961,-15.295
627.961,-15.276
628.961,-15.257
629.961,-15.238
630.961,-15.219
631.961,-15.2
632.96,-15.18
633.96,-15.161
634.96,-15.141
635.96,-15.122
636.96,-15.102
637.96,-15.082
638.96,-15.062
639.96,-15.042
640.96,-15.022
641.96,-15.002
642.96,-14.982
643.96,-14.962
644.96,-14.942
645.96,-14.921
646.96,-14.901
647.96,-14.88
648.959,-14.86
649.959,-14.839
650.959,-14.818
651.959,-14.793
652.959,-14.768
653.959,-14.743
654.959,-14.717
655.959,-14.692
656.959,-14.667
657.959,-14.642
658.959,-14.617
659.959,-14.593
660.959,-14.568
661.959,-14.543
662.959,-14.519
663.959,-14.495
664.958,-14.47
665.958,-14.446
666.958,-14.422
667.958,-14.398
668.958,-14.374
669.958,-14.35
670.958,-14.327
671.958,-14.303
672.958,-14.279
673.958,-14.256
674.958,-14.233
675.958,-14.209
676.958,-14.186
677.958,-14.163
678.958,-14.14
679.958,-14.117
680.957,-14.094
681.957,-14.072
682.957,-14.049
683.957,-14.027
684.957,-14.004
685.957,-13.982
686.957,-13.96
687.957,-13.938
688.957,-13.916
689.957,-13.894
690.957,-13.872
691.957,-13.85
692.957,-13.828
693.957,-13.807
694.957,-13.785
695.957,-13.764
696.956,-13.742
697.956,-13.721
698.956,-13.7
699.956,-13.679
700.956,-13.658
701.956,-13.637
702.956,-13.617
703.956,-13.596
704.956,-13.575
705.956,-13.555
706.956,-13.535
707.956,-13.514
708.956,-13.494
709.956,-13.474
710.956,-13.454
711.956,-13.434
712.955,-13.414
713.955,-13.395
714.955,-13.375
715.955,-13.355
716.955,-13.336
717.955,-13.317
718.955,-13.297
719.955,-13.278
720.955,-13.259
721.955,-13.24
722.955,-13.221
723.955,-13.202
724.955,-13.184
725.955,-13.165
726.955,-13.147
727.955,-13.128
728.954,-13.11
729.954,-13.092
730.954,-13.073
731.954,-13.055
732.954,-13.037
733.954,-13.02
734.954,-13.002
735.954,-12.984
736.954,-12.967
737.954,-12.949
738.954,-12.932
739.954,-12.914
740.954,-12.897
741.954,-12.88
742.954,-12.863
743.954,-12.846
744.953,-12.829
745.953,-12.812
746.953,-12.796
747.953,-12.779
748.953,-12.764
749.953,-12.754
750.953,-12.744
751.953,-12.733
752.953,-12.723
753.953,-12.713
754.953,-12.703
755.953,-12.693
756.953,-12.683
757.953,-12.673
758.953,-12.663
759.953,-12.653
760.952,-12.643
761.952,-12.634
762.952,-12.624
763.952,-12.614
764.952,-12.604
765.952,-12.595
766.952,-12.585
767.952,-12.575
768.952,-12.566
769.952,-12.556
770.952,-12.547
771.952,-12.537
772.952,-12.528
773.952,-12.518
774.952,-12.509
775.952,-12.499
776.951,-12.49
777.951,-12.481
778.951,-12.471
779.951,-12.462
780.951,-12.453
781.951,-12.444
782.951,-12.435
783.951,-12.426
784.951,-12.417
785.951,-12.408
786.951,-12.399
787.951,-12.39
788.951,-12.381
789.951,-12.372
790.951,-12.363
791.951,-12.354
792.95,-12.345
793.95,-12.337
794.95,-12.328
795.95,-12.319
796.95,-12.311
797.95,-12.302
798.95,-12.293
799.95,-12.285
800.95,-12.276
801.95,-12.268
802.95,-12.259
803.95,-12.251
804.95,-12.243
805.95,-12.234
806.95,-12.226
807.95,-12.218
808.949,-12.209
809.949,-12.201
810.949,-12.193
811.949,-12.185
812.949,-12.177
813.949,-12.169
814.949,-12.161
815.949,-12.153
816.949,-12.145
817.949,-12.137
818.949,-12.129
819.949,-12.121
820.949,-12.113
821.949,-12.105
822.949,-12.097
823.949,-12.09
824.948,-12.082
825.948,-12.074
826.948,-12.067
827.948,-12.059
828.948,-12.052
829.948,-12.044
830.948,-12.036
831.948,-12.029
832.948,-12.022
833.948,-12.014
834.948,-12.007
835.948,-11.999
836.948,-11.992
837.948,-11.985
838.948,-11.978
839.948,-11.97
840.947,-11.963
841.947,-11.956
842.947,-11.949
843.947,-11.942
844.947,-11.935
845.947,-11.928
846.947,-11.921
847.947,-11.914
848.947,-11.911
849.947,-11.908
850.947,-11.905
851.947,-11.903
852.947,-11.9
853.947,-11.897
854.947,-11.895
855.947,-11.892
856.946,-11.889
857.946,-11.887
858.946,-11.884
859.946,-11.882
860.946,-11.879
861.946,-11.877
862.946,-11.874
863.946,-11.872
864.946,-11.87
865.946,-11.867
866.946,-11.865
867.946,-11.863
868.946,-11.861
869.946,-11.859
870.946,-11.857
871.946,-11.854
872.945,-11.852
873.945,-11.85
874.945,-11.848
875.945,-11.846
876.945,-11.845
877.945,-11.843
878.945,-11.841
879.945,-11.839
880.945,-11.837
881.945,-11.835
882.945,-11.834
883.945,-11.832
884.945,-11.83
885.945,-11.829
886.945,-11.827
887.945,-11.826
888.944,-11.824
889.944,-11.824
890.944,-11.825
891.944,-11.827
892.944,-11.828
893.944,-11.83
894.944,-11.831
895.944,-11.832
896.944,-11.834
897.944,-11.835
898.944,-11.837
899.944,-11.838
900.944,-11.84
901.944,-11.842
902.944,-11.843
903.944,-11.845
904.943,-11.846
905.943,-11.848
906.943,-11.85
907.943,-11.852
908.943,-11.853
909.943,-11.855
910.943,-11.857
911.943,-11.859
912.943,-11.861
913.943,-11.863
914.943,-11.864
915.943,-11.866
916.943,-11.868
917.943,-11.87
918.943,-11.872
919.943,-11.874
920.942,-11.876
921.942,-11.879
922.942,-11.881
923.942,-11.883
924.942,-11.885
925.942,-11.887
926.942,-11.889
927.942,-11.892
928.942,-11.894
929.942,-11.896
930.942,-11.899
931.942,-11.901
932.942,-11.903
933.942,-11.906
934.942,-11.908
935.942,-11.911
936.941,-11.913
937.941,-11.916
938.941,-11.918
939.941,-11.921
940.941,-11.923
941.941,-11.926
942.941,-11.928
943.941,-11.931
944.941,-11.934
945.941,-11.936
946.941,-11.939
947.941,-11.941
948.941,-11.942
949.941,-11.944
950.941,-11.945
951.941,-11.947
952.94,-11.948
953.94,-11.95
954.94,-11.951
955.94,-11.953
956.94,-11.954
957.94,-11.956
958.94,-11.958
959.94,-11.959
960.94,-11.961
961.94,-11.963
962.94,-11.965
963.94,-11.966
964.94,-11.968
965.94,-11.97
966.94,-11.972
967.94,-11.974
968.939,-11.976
969.939,-11.978
970.939,-11.98
971.939,-11.982
972.939,-11.984
973.939,-11.986
974.939,-11.988
975.939,-11.99
976.939,-11.992
977.939,-11.995
978.939,-11.997
979.939,-11.999
980.939,-12.001
981.939,-12.004
982.939,-12.006
983.939,-12.008
984.938,-12.011
985.938,-12.013
986.938,-12.016
987.938,-12.018
988.938,-12.021
989.938,-12.023
990.938,-12.026
991.938,-12.028
992.938,-12.031
993.938,-12.034
994.938,-12.036
995.938,-12.039
996.938,-12.042
997.938,-12.045
998.938,-12.047
999.938,-12.05
1000.937,-12.053
1001.937,-12.056
1002.937,-12.059
1003.937,-12.062
1004.937,-12.065
1005.937,-12.068
1006.937,-12.071
1007.937,-12.074
1008.937,-12.077
1009.937,-12.08
1010.937,-12.083
1011.937,-12.087
1012.937,-12.09
1013.937,-12.093
1014.937,-12.096
1015.937,-12.1
1016.936,-12.103
1017.936,-12.106
1018.936,-12.11
1019.936,-12.113
1020.936,-12.116
1021.936,-12.12
1022.936,-12.123
1023.936,-12.127
1024.936,-12.13
1025.936,-12.134
1026.936,-12.138
1027.936,-12.141
1028.936,-12.145
1029.936,-12.149
1030.936,-12.152
