% FILE WITH ZONE 1 : SAFETY
% Containing the following columns with information:
%    - X        Centre location of the centre of the zone [m wrt Hoek van Holland]
%    - B        Width of considered zone [m]
116403    3195 
107000    3471 
95000    5419  
65211    1422  
37000    2407  
32000    1395  
19000    2622  
5000    2774   
